deltax is 0.314159
When a6 = -0.107
alpha        Kr        Ki        
0    4.857e-17    0
0.06283    1.528e-09    0.07543
0.1257    9.751e-08    0.1504
0.1885    1.105e-06    0.2245
0.2513    6.167e-06    0.2974
0.3142    2.332e-05    0.3686
0.377    6.887e-05    0.4379
0.4398    0.0001714    0.5052
0.5027    0.0003764    0.5702
0.5655    0.0007503    0.6329
0.6283    0.001385    0.6934
0.6912    0.002404    0.7518
0.754    0.003959    0.8082
0.8168    0.006243    0.8629
0.8796    0.009479    0.9162
0.9425    0.01393    0.9683
1.005    0.01989    1.02
1.068    0.02768    1.07
1.131    0.03765    1.121
1.194    0.05017    1.171
1.257    0.06561    1.221
1.319    0.08434    1.271
1.382    0.1067    1.321
1.445    0.1331    1.37
1.508    0.1637    1.418
1.571    0.1989    1.465
1.634    0.2387    1.51
1.696    0.2834    1.552
1.759    0.3329    1.59
1.822    0.3872    1.623
1.885    0.4461    1.651
1.948    0.5093    1.671
2.011    0.5764    1.684
2.073    0.647    1.688
2.136    0.7204    1.681
2.199    0.7961    1.664
2.262    0.8731    1.634
2.325    0.9507    1.593
2.388    1.028    1.538
2.45    1.104    1.47
2.513    1.177    1.389
2.576    1.248    1.294
2.639    1.314    1.187
2.702    1.374    1.068
2.765    1.429    0.9384
2.827    1.477    0.7983
2.89    1.517    0.6496
2.953    1.549    0.4937
3.016    1.572    0.3322
3.079    1.586    0.1671
3.142    1.591    3.823e-15
3.204    1.586    -0.1671
3.267    1.572    -0.3322
3.33    1.549    -0.4937
3.393    1.517    -0.6496
3.456    1.477    -0.7983
3.519    1.429    -0.9384
3.581    1.374    -1.068
3.644    1.314    -1.187
3.707    1.248    -1.294
3.77    1.177    -1.389
3.833    1.104    -1.47
3.896    1.028    -1.538
3.958    0.9507    -1.593
