deltax is 0.0314159
When a6 = -1.07
alpha        Kr        Ki        
0    -2.776e-17    0
0.006283    1.499e-15    0.00755
0.01257    9.776e-14    0.0151
0.01885    1.115e-12    0.02265
0.02513    6.264e-12    0.0302
0.03142    2.389e-11    0.03774
0.0377    7.134e-11    0.04529
0.04398    1.799e-10    0.05283
0.05027    4.007e-10    0.06037
0.05655    8.122e-10    0.0679
0.06283    1.528e-09    0.07543
0.06912    2.706e-09    0.08296
0.0754    4.561e-09    0.09048
0.08168    7.371e-09    0.09799
0.08796    1.149e-08    0.1055
0.09425    1.738e-08    0.113
0.1005    2.56e-08    0.1205
0.1068    3.681e-08    0.128
0.1131    5.186e-08    0.1355
0.1194    7.17e-08    0.1429
0.1257    9.751e-08    0.1504
0.1319    1.306e-07    0.1579
0.1382    1.726e-07    0.1653
0.1445    2.252e-07    0.1728
0.1508    2.906e-07    0.1802
0.1571    3.711e-07    0.1876
0.1634    4.694e-07    0.195
0.1696    5.883e-07    0.2024
0.1759    7.314e-07    0.2098
0.1822    9.023e-07    0.2172
0.1885    1.105e-06    0.2245
0.1948    1.345e-06    0.2319
0.2011    1.626e-06    0.2392
0.2073    1.954e-06    0.2465
0.2136    2.336e-06    0.2538
0.2199    2.778e-06    0.2611
0.2262    3.287e-06    0.2684
0.2325    3.872e-06    0.2757
0.2388    4.54e-06    0.2829
0.245    5.302e-06    0.2901
0.2513    6.167e-06    0.2974
0.2576    7.146e-06    0.3046
0.2639    8.251e-06    0.3118
0.2702    9.494e-06    0.3189
0.2765    1.089e-05    0.3261
0.2827    1.245e-05    0.3332
0.289    1.419e-05    0.3403
0.2953    1.613e-05    0.3474
0.3016    1.829e-05    0.3545
0.3079    2.067e-05    0.3616
0.3142    2.332e-05    0.3686
0.3204    2.623e-05    0.3756
0.3267    2.944e-05    0.3826
0.333    3.297e-05    0.3896
0.3393    3.685e-05    0.3966
0.3456    4.109e-05    0.4035
0.3519    4.573e-05    0.4104
0.3581    5.08e-05    0.4173
0.3644    5.632e-05    0.4242
0.3707    6.234e-05    0.4311
0.377    6.887e-05    0.4379
0.3833    7.596e-05    0.4448
0.3896    8.364e-05    0.4516
0.3958    9.195e-05    0.4583
0.4021    0.0001009    0.4651
0.4084    0.0001106    0.4718
0.4147    0.0001211    0.4785
0.421    0.0001324    0.4852
0.4273    0.0001445    0.4919
0.4335    0.0001575    0.4985
0.4398    0.0001714    0.5052
0.4461    0.0001864    0.5118
0.4524    0.0002024    0.5184
0.4587    0.0002196    0.5249
0.465    0.0002379    0.5314
0.4712    0.0002575    0.538
0.4775    0.0002784    0.5444
0.4838    0.0003006    0.5509
0.4901    0.0003243    0.5574
0.4964    0.0003496    0.5638
0.5027    0.0003764    0.5702
0.5089    0.0004048    0.5766
0.5152    0.0004351    0.5829
0.5215    0.0004671    0.5892
0.5278    0.0005011    0.5955
0.5341    0.0005371    0.6018
0.5404    0.0005751    0.6081
