The following are the wave data
Position    Value
0    0.253
0.0314    0.283
0.0628    0.313
0.0942    0.343
0.126    0.372
0.157    0.401
0.188    0.43
0.22    0.458
0.251    0.485
0.283    0.513
0.314    0.539
0.346    0.566
0.377    0.591
0.408    0.616
0.44    0.641
0.471    0.664
0.503    0.688
0.534    0.71
0.565    0.732
0.597    0.753
0.628    0.773
0.66    0.793
0.691    0.811
0.723    0.829
0.754    0.847
0.785    0.863
0.817    0.878
0.848    0.893
0.88    0.907
0.911    0.919
0.942    0.931
0.974    0.942
1.01    0.952
1.04    0.961
1.07    0.97
1.1    0.977
1.13    0.983
1.16    0.988
1.19    0.993
1.23    0.996
1.26    0.998
1.29    1
1.32    1
1.35    0.999
1.38    0.998
1.41    0.995
1.45    0.992
1.48    0.987
1.51    0.981
1.54    0.975
1.57    0.968
1.6    0.959
1.63    0.95
1.67    0.939
1.7    0.928
1.73    0.916
1.76    0.903
1.79    0.889
1.82    0.874
1.85    0.859
1.88    0.842
1.92    0.825
1.95    0.807
1.98    0.788
2.01    0.768
2.04    0.747
2.07    0.726
2.1    0.704
2.14    0.682
2.17    0.658
2.2    0.634
2.23    0.61
2.26    0.584
2.29    0.559
2.32    0.532
2.36    0.505
2.39    0.478
2.42    0.45
2.45    0.422
2.48    0.393
2.51    0.364
2.54    0.335
2.58    0.305
2.61    0.275
2.64    0.245
2.67    0.214
2.7    0.183
2.73    0.152
2.76    0.121
2.8    0.09
2.83    0.0586
2.86    0.0273
2.89    -0.00415
2.92    -0.0356
2.95    -0.0669
2.98    -0.0982
3.02    -0.129
3.05    -0.161
3.08    -0.191
3.11    -0.222
3.14    -0.253
3.17    -0.283
3.2    -0.313
3.24    -0.343
3.27    -0.372
3.3    -0.401
3.33    -0.43
3.36    -0.458
3.39    -0.485
3.42    -0.513
3.46    -0.539
3.49    -0.566
3.52    -0.591
3.55    -0.616
3.58    -0.641
3.61    -0.664
3.64    -0.688
3.68    -0.71
3.71    -0.732
3.74    -0.753
3.77    -0.773
3.8    -0.793
3.83    -0.811
3.86    -0.829
3.9    -0.847
3.93    -0.863
3.96    -0.878
3.99    -0.893
4.02    -0.907
4.05    -0.919
4.08    -0.931
4.12    -0.942
4.15    -0.952
4.18    -0.961
4.21    -0.97
4.24    -0.977
4.27    -0.983
4.3    -0.988
4.34    -0.993
4.37    -0.996
4.4    -0.998
4.43    -1
4.46    -1
4.49    -0.999
4.52    -0.998
4.56    -0.995
4.59    -0.992
4.62    -0.987
4.65    -0.981
4.68    -0.975
4.71    -0.968
4.74    -0.959
4.78    -0.95
4.81    -0.939
4.84    -0.928
4.87    -0.916
4.9    -0.903
4.93    -0.889
4.96    -0.874
5    -0.859
5.03    -0.842
5.06    -0.825
5.09    -0.807
5.12    -0.788
5.15    -0.768
5.18    -0.747
5.22    -0.726
5.25    -0.704
5.28    -0.682
5.31    -0.658
5.34    -0.634
5.37    -0.61
5.4    -0.584
5.43    -0.559
5.47    -0.532
5.5    -0.505
5.53    -0.478
5.56    -0.45
5.59    -0.422
5.62    -0.393
5.65    -0.364
5.69    -0.335
5.72    -0.305
5.75    -0.275
5.78    -0.245
5.81    -0.214
5.84    -0.183
5.87    -0.152
5.91    -0.121
5.94    -0.09
5.97    -0.0586
6    -0.0273
6.03    0.00415
6.06    0.0356
6.09    0.0669
6.13    0.0982
6.16    0.129
6.19    0.161
6.22    0.191
6.25    0.222
