The result as follows
position     rou     u     p
0  3.857  2.629  10.333
0.05  3.85699  2.62899  10.3331
0.1  3.85698  2.62901  10.333
0.15  3.85699  2.629  10.3331
0.2  3.85697  2.62901  10.3329
0.25  3.85699  2.62899  10.3331
0.3  3.85697  2.62901  10.3329
0.35  3.857  2.62899  10.3331
0.4  3.85698  2.629  10.3329
0.45  3.85699  2.629  10.333
0.5  3.85703  2.62898  10.3331
0.55  3.85694  2.62903  10.3327
0.6  3.85705  2.62897  10.3335
0.65  3.85699  2.62901  10.3329
0.7  3.85685  2.62911  10.332
0.75  3.85742  2.62882  10.335
0.8  3.85693  2.62897  10.333
0.85  3.85624  2.62946  10.3285
0.9  3.85792  2.62856  10.3361
0.95  3.85826  2.62806  10.341
1  3.85431  2.63017  10.3245
1.05  3.85355  2.63111  10.3151
1.1  3.86095  2.62736  10.3452
1.15  3.86528  2.62425  10.3759
1.2  3.8566  2.62868  10.3362
1.25  3.84183  2.63711  10.2694
1.3  3.84227  2.63704  10.2675
1.35  3.8662  2.62476  10.3623
1.4  3.89129  2.611  10.4686
1.45  3.89503  2.60954  10.4865
1.5  3.86864  2.62394  10.3751
1.55  3.81737  2.64855  10.1866
1.6  3.75956  2.67812  9.9675
1.65  3.69166  2.71198  9.7264
1.7  3.63636  2.74473  9.48777
1.75  3.6394  2.74922  9.46957
1.8  3.74146  2.68887  9.88824
1.85  3.90147  2.60419  10.5078
1.9  4.02139  2.55434  10.9588
1.95  4.04545  2.53248  11.0749
2  4.04971  2.52658  11.0787
2.05  4.04807  2.53141  11.0578
2.1  4.03762  2.54248  11.0097
2.15  4.01508  2.5565  10.9266
2.2  3.98017  2.57076  10.8016
2.25  3.93577  2.58513  10.6445
2.3  3.89306  2.60338  10.4907
2.35  3.85735  2.62616  10.3507
2.4  3.81963  2.64909  10.2011
2.45  3.77617  2.67031  10.0396
2.5  3.73347  2.69084  9.87974
2.55  3.69446  2.7112  9.73009
2.6  3.65858  2.73032  9.59674
2.65  3.63387  2.74472  9.50156
2.7  3.63109  2.74626  9.47751
2.75  3.65896  2.72912  9.5904
2.8  3.73405  2.69412  9.87772
2.85  3.82858  2.64394  10.2472
2.9  3.91298  2.58996  10.5824
2.95  3.98329  2.55585  10.8747
3  4.00919  2.54372  11.0738
3.05  3.96907  2.53348  11.078
3.1  3.90912  2.52876  10.9998
3.15  3.87665  2.54031  10.9715
3.2  3.86585  2.56253  10.9642
3.25  3.84254  2.57432  10.8176
3.3  3.76638  2.57808  10.5528
3.35  3.70382  2.60205  10.3919
3.4  3.69776  2.65134  10.3675
3.45  3.68078  2.68219  10.1973
3.5  3.57513  2.67433  9.77359
3.55  3.48769  2.68032  9.50701
3.6  3.57269  2.74145  9.68385
3.65  3.74356  2.78951  9.86302
3.7  3.73516  2.74066  9.5385
3.75  3.61577  2.63694  9.04802
3.8  3.61458  2.64677  9.54453
3.85  3.9508  2.76512  10.9488
3.9  4.1375  2.7361  11.2761
3.95  3.606  2.4567  9.68963
4  3.09831  2.30682  9.1129
4.05  3.71773  2.66062  11.8732
4.1  5.12375  2.76574  12.9469
4.15  4.95511  2.23726  7.77075
4.2  2.21552  0.991733  2.72909
4.25  1.19876  0.0668821  1.08994
4.3  1.09673  0.0022992  1.00303
4.35  1.04785  4.80833e-05  1.00011
4.4  0.998214  -1.78012e-05  0.999979
4.45  0.948804  -2.21073e-06  0.999997
4.5  0.902565  2.92373e-07  1
4.55  0.862382  5.95467e-08  1
4.6  0.830756  -4.14766e-09  1
4.65  0.809652  -1.4998e-09  1
4.7  0.800384  3.15062e-11  1
4.75  0.803526  3.4963e-11  1
4.8  0.818884  1.13383e-12  1
4.85  0.845504  -6.01925e-13  1
4.9  0.881729  -3.00153e-13  1
4.95  0.925307  -5.52811e-13  1
