The result as follows
position     rou     u     p
0  1  0  1
0.01  1  1.01e-13  1
0.02  1  -3.9e-13  1
0.03  1  3.38e-13  1
0.04  1  2.71e-13  1
0.05  1  4.04e-13  1
0.06  1  1.63e-13  1
0.07  1  -4.12e-13  1
0.08  1  -9.26e-13  1
0.09  1  -6.35e-13  1
0.1  1  5.22e-13  1
0.11  1  -6.07e-13  1
0.12  1  -6.08e-12  1
0.13  1  -1e-13  1
0.14  1  3.39e-11  1
0.15  1  1.66e-11  1
0.16  1  -1.75e-10  1
0.17  1  -1.82e-10  1
0.18  1  8.01e-10  1
0.19  1  1.41e-09  1
0.2  1  -3.05e-09  1
0.21  1  -8.92e-09  1
0.22  1  7.83e-09  1
0.23  1  4.72e-08  1
0.24  1  3.56e-09  1
0.25  1  -2.03e-07  1
0.26  1  -2.02e-07  1
0.27  1  6.44e-07  1
0.28  1  1.47e-06  1
0.29  1  -8.77e-07  1
0.3  1  -6.59e-06  1
0.31  1  -4.7e-06  1
0.32  1  1.76e-05  1
0.33  1  4.23e-05  1
0.34  1  6.73e-06  1
0.35  1  -0.000118  1
0.36  1  -0.00019  1
0.37  1  0.000197  1
0.38  0.998  0.00202  0.998
0.39  0.993  0.00781  0.991
0.4  0.978  0.0262  0.969
0.41  0.941  0.0717  0.918
0.42  0.888  0.14  0.846
0.43  0.826  0.222  0.765
0.44  0.761  0.315  0.682
0.45  0.696  0.414  0.603
0.46  0.633  0.516  0.527
0.47  0.575  0.622  0.461
0.48  0.521  0.721  0.402
0.49  0.478  0.806  0.355
0.5  0.449  0.887  0.326
0.51  0.426  0.931  0.306
0.52  0.42  0.922  0.294
0.53  0.417  0.923  0.301
0.54  0.41  0.942  0.309
0.55  0.38  0.949  0.312
0.56  0.316  0.921  0.302
0.57  0.262  0.857  0.28
0.58  0.253  0.871  0.286
0.59  0.289  1.04  0.343
0.6  0.318  1.09  0.367
0.61  0.245  0.752  0.251
0.62  0.15  0.207  0.131
0.63  0.128  0.0219  0.103
0.64  0.125  0.00234  0.1
0.65  0.125  -2.55e-05  0.1
0.66  0.125  -0.000108  0.1
0.67  0.125  -1.36e-05  0.1
0.68  0.125  4.12e-06  0.1
0.69  0.125  1.45e-06  0.1
0.7  0.125  -9.64e-09  0.1
0.71  0.125  -8.6e-08  0.1
0.72  0.125  -1.34e-08  0.1
0.73  0.125  2.67e-09  0.1
0.74  0.125  1.19e-09  0.1
0.75  0.125  4.79e-11  0.1
0.76  0.125  -5.57e-11  0.1
0.77  0.125  -1.15e-11  0.1
0.78  0.125  1.02e-12  0.1
0.79  0.125  7.35e-13  0.1
0.8  0.125  6.37e-14  0.1
0.81  0.125  -2.61e-14  0.1
0.82  0.125  -7.23e-15  0.1
0.83  0.125  -4.35e-17  0.1
0.84  0.125  2.13e-16  0.1
0.85  0.125  1.85e-18  0.1
0.86  0.125  -1.76e-17  0.1
0.87  0.125  0  0.1
0.88  0.125  0  0.1
0.89  0.125  0  0.1
0.9  0.125  0  0.1
0.91  0.125  0  0.1
0.92  0.125  4.72e-17  0.1
0.93  0.125  1.94e-16  0.1
0.94  0.125  2.66e-16  0.1
0.95  0.125  1.17e-16  0.1
0.96  0.125  -3e-16  0.1
0.97  0.125  -8.24e-16  0.1
0.98  0.125  -9.45e-16  0.1
0.99  0.125  0  0.1
1  0.125  0  0.1
