The result as follows
position     rou     u     p
0  3.86  2.63  10.3
0.05  3.86  2.63  10.3
0.1  3.86  2.63  10.3
0.15  3.86  2.63  10.3
0.2  3.86  2.63  10.3
0.25  3.86  2.63  10.3
0.3  3.86  2.63  10.3
0.35  3.86  2.63  10.3
0.4  3.86  2.63  10.3
0.45  3.86  2.63  10.3
0.5  3.86  2.63  10.3
0.55  3.86  2.63  10.3
0.6  3.86  2.63  10.3
0.65  3.86  2.63  10.3
0.7  3.86  2.63  10.3
0.75  3.86  2.63  10.3
0.8  3.86  2.63  10.3
0.85  3.86  2.63  10.3
0.9  3.86  2.63  10.3
0.95  3.86  2.63  10.3
1  3.85  2.63  10.3
1.05  3.85  2.63  10.3
1.1  3.86  2.63  10.3
1.15  3.87  2.62  10.4
1.2  3.86  2.63  10.3
1.25  3.84  2.64  10.3
1.3  3.84  2.64  10.3
1.35  3.87  2.62  10.4
1.4  3.89  2.61  10.5
1.45  3.9  2.61  10.5
1.5  3.87  2.62  10.4
1.55  3.82  2.65  10.2
1.6  3.76  2.68  9.96
1.65  3.69  2.71  9.73
1.7  3.64  2.74  9.49
1.75  3.64  2.75  9.46
1.8  3.73  2.69  9.86
1.85  3.89  2.61  10.5
1.9  4.01  2.56  10.9
1.95  4.05  2.53  11.1
2  4.06  2.53  11.1
2.05  4.05  2.53  11.1
2.1  4.03  2.54  11
2.15  4.01  2.56  10.9
2.2  3.98  2.57  10.8
2.25  3.94  2.58  10.7
2.3  3.9  2.6  10.5
2.35  3.86  2.63  10.3
2.4  3.81  2.65  10.2
2.45  3.77  2.67  10
2.5  3.73  2.69  9.88
2.55  3.69  2.71  9.73
2.6  3.66  2.73  9.59
2.65  3.64  2.74  9.5
2.7  3.64  2.75  9.49
2.75  3.66  2.73  9.59
2.8  3.73  2.69  9.88
2.85  3.83  2.64  10.2
2.9  3.91  2.59  10.6
2.95  3.99  2.56  10.9
3  4.01  2.54  11
3.05  3.97  2.53  11.1
3.1  3.91  2.53  11
3.15  3.88  2.54  11
3.2  3.86  2.56  11
3.25  3.84  2.57  10.8
3.3  3.77  2.58  10.6
3.35  3.72  2.6  10.4
3.4  3.71  2.65  10.3
3.45  3.68  2.68  10.2
3.5  3.58  2.68  9.78
3.55  3.49  2.69  9.52
3.6  3.57  2.74  9.66
3.65  3.72  2.78  9.82
3.7  3.73  2.74  9.54
3.75  3.64  2.65  9.13
3.8  3.65  2.65  9.59
3.85  3.94  2.75  10.9
3.9  4.11  2.73  11.2
3.95  3.63  2.47  9.76
4  3.15  2.33  9.23
4.05  3.7  2.66  11.9
4.1  5.05  2.77  12.9
4.15  4.92  2.23  7.77
4.2  2.22  0.987  2.71
4.25  1.2  0.0664  1.09
4.3  1.1  0.00216  1
4.35  1.05  4.19e-05  1
4.4  0.998  -1.73e-05  1
4.45  0.949  -1.9e-06  1
4.5  0.903  2.99e-07  1
4.55  0.862  5.25e-08  1
4.6  0.831  -4.9e-09  1
4.65  0.81  -1.36e-09  1
4.7  0.8  6.01e-11  1
4.75  0.804  3.3e-11  1
4.8  0.819  3.18e-13  1
4.85  0.846  -6.02e-13  1
4.9  0.882  -2.87e-13  1
4.95  0.925  -5.65e-13  1
5  0.974  -8.16e-13  1
5.05  1.02  -9.59e-13  1
5.1  1.07  -9.96e-13  1
5.15  1.12  -9.39e-13  1
5.2  1.15  -8.13e-13  1
5.25  1.18  -6.51e-13  1
5.3  1.2  -4.81e-13  1
5.35  1.2  -3.19e-13  1
5.4  1.19  -1.69e-13  1
5.45  1.17  -3.09e-14  1
5.5  1.14  1.01e-13  1
5.55  1.1  2.37e-13  1
5.6  1.05  3.91e-13  1
5.65  1  5.68e-13  1
5.7  0.955  7.58e-13  1
5.75  0.908  9.37e-13  1
5.8  0.867  1.07e-12  1
5.85  0.834  1.13e-12  1
5.9  0.812  1.1e-12  1
5.95  0.801  9.74e-13  1
6  0.802  7.53e-13  1
6.05  0.816  4.6e-13  1
6.1  0.841  1.24e-13  1
6.15  0.876  -2.23e-13  1
6.2  0.919  -5.4e-13  1
6.25  0.967  -7.91e-13  1
6.3  1.02  -9.47e-13  1
6.35  1.07  -9.97e-13  1
6.4  1.11  -9.51e-13  1
6.45  1.15  -8.32e-13  1
6.5  1.18  -6.73e-13  1
6.55  1.19  -5.03e-13  1
6.6  1.2  -3.4e-13  1
6.65  1.19  -1.88e-13  1
6.7  1.17  -4.88e-14  1
6.75  1.14  8.28e-14  1
6.8  1.11  2.18e-13  1
6.85  1.06  3.69e-13  1
6.9  1.01  5.43e-13  1
6.95  0.962  7.33e-13  1
7  0.914  9.15e-13  1
7.05  0.872  1.06e-12  1
7.1  0.838  1.13e-12  1
7.15  0.814  1.11e-12  1
7.2  0.802  9.96e-13  1
7.25  0.801  7.87e-13  1
7.3  0.814  5.04e-13  1
7.35  0.837  1.71e-13  1
7.4  0.871  -1.77e-13  1
7.45  0.913  -5.01e-13  1
7.5  0.96  -7.62e-13  1
7.55  1.01  -9.32e-13  1
7.6  1.06  -9.97e-13  1
7.65  1.1  -9.62e-13  1
7.7  1.14  -8.5e-13  1
7.75  1.17  -6.95e-13  1
7.8  1.19  -5.26e-13  1
7.85  1.2  -3.61e-13  1
7.9  1.19  -2.07e-13  1
7.95  1.18  -6.68e-14  1
8  1.15  6.53e-14  1
8.05  1.11  2e-13  1
8.1  1.07  3.48e-13  1
8.15  1.02  5.2e-13  1
8.2  0.968  7.09e-13  1
8.25  0.92  8.93e-13  1
8.3  0.877  1.04e-12  1
8.35  0.842  1.13e-12  1
8.4  0.817  1.12e-12  1
8.45  0.803  1.02e-12  1
8.5  0.801  8.19e-13  1
8.55  0.811  5.41e-13  1
8.6  0.834  2.11e-13  1
8.65  0.866  -1.32e-13  1
8.7  0.907  -4.52e-13  1
8.75  0.954  -7.13e-13  1
8.8  1  -9.03e-13  1
8.85  1.05  -1.01e-12  1
8.9  1.1  -1.07e-12  1
8.95  1.14  -1.09e-12  1
9  1.17  -1.1e-12  1
9.05  1.19  -1.08e-12  1
9.1  1.2  -1.07e-12  1
9.15  1.2  -1.02e-12  1
9.2  1.18  -9.93e-13  1
9.25  1.15  -8.91e-13  1
9.3  1.12  -8.57e-13  1
9.35  1.07  -6.82e-13  1
9.4  1.02  -6.2e-13  1
9.45  0.975  -3.38e-13  1
9.5  0.927  -2.93e-13  1
9.55  0.883  5.3e-14  1
9.6  0.846  -5.99e-14  1
9.65  0.819  2.83e-13  1
9.7  0.804  -1.06e-13  1
9.75  0.8  2.62e-13  1
9.8  0.809  -4.32e-13  1
9.85  0.83  7.64e-14  1
9.9  0.861  -8.66e-13  1
9.95  0.901  0  1
10  0.948  0  1
